@RELATION relation
@attribute article string
@ATTRIBUTE Class  {"خدمات" , "فواتير", "اخرى"}
@DATA
"كيف بئدر اسمع البريد الصوتي و انا برا","خدمات"
"كيف ارن و استقبل مكالمات و انا برا البلد","خدمات"
"كيف ممكن ارن خلال خدمة التجوال","خدمات"
"كيف افعل خدمة التجوال و انا بفلسطين","خدمات"
"شو الفرق بين مكالمة تجوال و المكالمة الدولية","خدمات"
"كيف بئدر افعل خدمة الاخبار العاجلة","خدمات"
"شو هي خدمة الرسائل الصوتية","خدمات"
"شو الاعدادات الخاصة بالخدمات","خدمات"
"شو في خدمات ترفيهية","خدمات"
"شو هي خدمة المكالمات الفائتة","خدمات"
"شو هي خدمة ارجعلي","خدمات"
"شو هي خدمة الرسائل متعددة الوسائط","خدمات"
"شو هي خدمة رنلي","خدمات"
"غلبك بس شو يعني خدمة توأم جوالي","خدمات"
"بدي استفسر عن خدمة الاخبار العاجلة","خدمات"
"كيف بقدر اشترك في الخدمات الترفيهية و كم بتكلف","خدمات"
"بالنسبة لخدمة ارجعلي كيف الاستخدام كيف الطريقة","خدمات"
"شو يعني الرسائل الصوتية","خدمات"
"اعدادات الخدمات كيف بقدر اوصلها","خدمات"
"كيف بفعل الرسائل المتعددة الوسائط","خدمات"
"كيف بقدر اشترك في خدمة المكالمات الفائتة","خدمات"
"خدمة رنلي كيف بقدر اشترك فيها","خدمات"
"كيف بقدر استخدم خدمة التجوال","خدمات"
"كيف بقدر افعل التجوال عندي اذا شريحتي زين","خدمات"
"كيف بقدر ارسل رسالة بالتجوال","خدمات"
"ايش الفرق بين اتصل دولي و بين خدمة التجوال","خدمات"
"كيف بستخدم البريد الصوتي الي في التجوال","خدمات"
"خدمة التجوال بتزبط عجهازي ولا لازم اشتري واحد","خدمات"
"انا نظام كرت بقدر استخدم التجوال ولا بس الفاتورة","خدمات"
"كيف بقدر افعل خدمة توأم جوالي","خدمات"
"كيف بقدر اشترك بخدمة الاخبار","خدمات"
"شو في خدمات ترفيهية و مسلية عندكم","خدمات"
"شو هي خدمة ارجعلي شو فايدتها","خدمات"
"شو يعني الرسائل الصوتية","خدمات"
"كيف اجيب الاعدادات الخاصة بالخدمات","خدمات"
"شو يعني خدمة الرسائل متعددة الوسائط","خدمات"
"لو واحد رن علي و ما كنت موجود كيف بقدر افعل نظام المكالمات الفائتة","خدمات"
"شو هي خدمة رنلي","خدمات"
"كيف راح ارن على حد لما اكون مشغل التجوال","خدمات"
"شو لازم اسوي عشان افعل خدمة التجوال","خدمات"
"بقدر ابعت رسائل لما اكون مفعل التجوال","خدمات"
"كيف بقدر اميز بين التجوال و الاتصال الدولي","خدمات"
"في بريد صوتي لما اكون مفعل التجوال","خدمات"
"كيف بقدر اتصل على الناس لما اكون برا البلد و مفعل التجوال","خدمات"
"بتشتغل خدمة التجوال على الكرت و الفاتورة","خدمات"
"كيف بقدر افعل خدمة توأم جوالي","خدمات"
"شو هي خدمة الاخبار العاجلة و كيف ممكن توصلني الاخبار اول باول","خدمات"
"شو في عندكم خدمات ترفيهية و مسلية","خدمات"
"شو هية خدمة ارجعلي و شو بستفيد منها","خدمات"
"شو هية خدمة الرسائل الصوتية","خدمات"
"كيف بقدر احصل على اعدادات الخدمات","خدمات"
"شو في عندكم خدمة بقدر من خلالها ابعت صورة عن طريق رسالة","خدمات"
"لو واحد رن علي و ما كنت موجود كيف بقدر افعل نظام المكالمات الفائتة","خدمات"
"كيف بقدر ارن على حدا لما اتكون مشغل التجوال الدولي","خدمات"
"انا جاي من الاردن و معي شريحة زين، بقدر افعل خدمة التجوال و احكي عن طريق شبكة جوال","خدمات"
"شو بتفرق المكالمة الدولية عن مكالمة التجوال","خدمات"
"كيف بقدر اسمع بريدي الصوتي اثناء التجوال","خدمات"
